,0,1,2,3,4,5,6,7,8,9,10,11,12
gamma,0.04,0.05,0.060000000000000005,0.07,0.08000000000000002,0.09000000000000001,0.1,0.11000000000000001,0.12000000000000002,0.13000000000000003,0.14,0.15000000000000002,0.16000000000000003
max_dd,0.04000000000000001,0.04999999999999999,0.06000000000000005,0.06999999999999998,0.08000000000000004,0.09000000000000002,0.10000000000000009,0.11000000000000015,0.1200000000000001,0.13000000000000012,0.14000000000000012,0.15000000000000013,0.1600000000000001
ObjVal,0.17884670016052548,0.23576474573718922,0.2877580741819329,0.3214132729977786,0.33987817982050206,0.3508648080918454,0.3581351871235075,0.36529600947987406,0.3718724044965218,0.3778350518866781,0.3837976992768346,0.389760346666991,0.39572299405714745
Reward/Risk,4.4711675040131365,4.715294914743786,4.795967903032211,4.591618185682553,4.248477247756274,3.89849786768717,3.581351871235072,3.320872813453396,3.098936704137679,2.9064234760513674,2.741412137691673,2.598402311113271,2.47326871285717
alpha,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GOOGL,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
NWS,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
META,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
CMCSA,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
LYV,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
DIS,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
TJX,0.24197572997095418,0.345788237912933,0.4392750208904575,0.13498291951629585,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
BKNG,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
LOW,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
CMG,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
COST,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
MNST,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
KMI,0.005,0.005,0.005,0.048118747426861626,0.15432106056122397,0.24638996114902445,0.2646305665198618,0.2789622238370204,0.2852524311528877,0.2763031548650211,0.2673538785771546,0.25840460228928797,0.24945532600142134
JPM,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
AJG,0.005,0.005,0.005,0.005,0.005,0.04546890429748472,0.17188619341599626,0.283158168064537,0.323042814420353,0.28297044294143714,0.24289807146252135,0.20282569998360553,0.1627533285046897
GS,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
MS,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
V,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
BSX,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
SYK,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
ISRG,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
TMO,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
CTAS,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
TT,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
GE,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
ORCL,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
MSFT,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
AAPL,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
AVGO,0.005,0.005,0.005,0.09189833305684234,0.12155524424594026,0.12392015759853418,0.12699964743978487,0.1333183549994949,0.14470383113655927,0.16788771420735893,0.19107159727815862,0.21425548034895828,0.23743936341975797
APH,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
ACN,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
MSI,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
CSCO,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
PANW,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
NVDA,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
INTU,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
LIN,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
VICI,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
AES,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
EWJ,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
EWY,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
FXI,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.02200092329019991,0.04783868798618263,0.07367645268216533,0.09951421737814804,0.12535198207413076
FEZ,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
GLD,0.10093724308854556,0.20678764947550807,0.30479997193085434,0.5,0.49412369519283555,0.3592209769549564,0.2114835926243569,0.07956125309894757,0.005,0.005,0.005,0.005,0.005
GSG,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
SLV,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
TLT,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
SHY,0.42708702694050005,0.21742411261155867,0.02592500717868799,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
BIL,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
