,0,1,2,3,4,5,6,7,8,9
gamma,0.03,0.04,0.05,0.060000000000000005,0.07,0.08000000000000002,0.09000000000000001,0.1,0.11000000000000001,0.12000000000000002
cdar,0.030000000000000016,0.04000000000000001,0.049999999999999996,0.06000000000000001,0.06999999999999998,0.08000000000000006,0.09000000000000008,0.10000000000000005,0.11000000000000017,0.12000000000000004
ObjVal,0.23310804399167487,0.3119941152980711,0.34749704638832307,0.36296245104449093,0.37111888463606957,0.37754374026824633,0.38314142982134036,0.38823555681370386,0.39284734552599987,0.3965462328913425
Reward/Risk,7.770268133055825,7.799852882451775,6.949940927766462,6.049374184074848,5.301698351943853,4.719296753353076,4.257126998014889,3.882355568137037,3.5713395047818115,3.3045519407611863
z,0.020842246275565586,0.02827622665716255,0.03151883015412176,0.040280099952726856,0.047649425827314296,0.05538944405985369,0.0644242168249754,0.07188709508875873,0.08244971527550445,0.08847555342675949
alpha,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
max_dd,0.055945931512913605,0.07428470755228125,0.09880243841072633,0.11251265118585912,0.1238631854138898,0.13452934833525465,0.14719482194426559,0.16121727180104317,0.1739120036098824,0.18564600736826692
GOOGL,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
NWS,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
META,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
CMCSA,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
LYV,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.017843084324859218
DIS,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
TJX,0.020489869161666285,0.062263099806591726,0.03857675629490448,0.005,0.005,0.005,0.005,0.005,0.005,0.005
BKNG,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
LOW,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
CMG,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
COST,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
MNST,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
KMI,0.005,0.005,0.14428194953485912,0.2477032014391693,0.24070886315033616,0.1996971272916921,0.17810558652700992,0.15845639920198357,0.14066769851839472,0.11397021894663455
JPM,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
AJG,0.12411976386537557,0.180154855939854,0.12201083149385562,0.04584941140196197,0.005,0.005,0.005,0.005,0.005,0.005
GS,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
MS,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
V,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
BSX,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
SYK,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
ISRG,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
TMO,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
CTAS,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
TT,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
GE,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
ORCL,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
MSFT,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
AAPL,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
AVGO,0.029216700980171848,0.04133713424042481,0.09754023369273031,0.12794304898824596,0.17238401186230465,0.22176739530105344,0.26102107278581865,0.2967435286540888,0.3290835977170987,0.3524137594786306
APH,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
ACN,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
MSI,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
CSCO,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
PANW,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
NVDA,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
INTU,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
LIN,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
VICI,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
AES,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
EWJ,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
EWY,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
FXI,0.005,0.018941785185870516,0.12036726269150351,0.1244846427591327,0.11280671651152813,0.0874368600854004,0.06104210002303568,0.037021786210467464,0.015275839893724375,0.005
FEZ,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
GLD,0.33445621007338,0.47573272603752176,0.26222296629214675,0.23401969541148987,0.24910040847583081,0.26609861732185386,0.27483124066413556,0.28277828593345994,0.28997286387078197,0.29077293724987546
GSG,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
SLV,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
TLT,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
SHY,0.2717174559194061,0.006570398789737019,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
BIL,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
